"","AR_ID","NID_ID","Dam_Name","Description","Year_Removed","Latitude","Longitude","City_County","River","HUC8","State","Dam_Height_ft","Dam_Length_ft","Year_Built","Owner","Original.Use","Type_Material","Miles_Restored_US","Miles_Restored_DS","River_Miles_Reported","Last_Updated","X","X.1"
"15","AL-005","","Goodwins Mill Dam","The Goodwins Mill Dam was abandoned in the 1930s, but continued to create a barrier to fish in Big Canoe Creek until its removal in November 2013. ","2013",33.81973,-86.3855,"St Clair County","Big Canoe Creek","Middle Coosa","AL","15","175","Early 1900's","Private","Grist mill","Stone","","","12","11/10/2017","",""
"16","AL-006","","Old Shadow Lake Dam","The Old Shallow Lake filled in with sediment and the dam had become unstable by the time of its removal in November 2013. ","2013",33.68278,-86.6464,"Pinson","Turkey Creek","Locust","AL","6","85","1920s","Private","Swimming hole","Concrete","","","0.5","1/29/2018","",""
"17","AR-001","","Winton Springs Dam","","",NA,NA,"","","","AR","4","","","","","","","","","11/10/2017","",""
"18","AR-002","","Hot Springs Park Ricks Lower #1 Dam","","1986",NA,NA,"","","","AR","11","","","","","","","","","11/10/2017","",""
"19","AR-003","","Lake St. Francis Dam","","1989",35.0716,-90.7583,"Johnson","Crow Creek","Lower St. Francis","AR","45","","","","","","","","","11/10/2017","",""
"20","AR-004","","Unnamed ford","","2011",36.26568,-92.7099,"Yelville","Crooked Creek","Bull Shoals Lake","AR","","","","","","Concrete","","","27","11/10/2017","",""
"21","AZ-002","","Perrin Dam","","1980",NA,NA,"","","","AZ","32","","","","","","","","","11/10/2017","",""
"22","AZ-003","","Concrete Dam","","1982",NA,NA,"","","","AZ","39","","","","","","","","","11/10/2017","",""
"23","AZ-004","","Fossil Creek Diversion Dam","The Fossil Springs Diversion Structure was approximately 24 feet thick at the base and 5 feet thick at the top. The dam, which diverted the flows of Fossil Creek to a flume system to supply the Irving and Childs hydroelectric power plants, was removed in 2008.","2008",34.42133,-111.576,"Near Camp Verde ","Fossil Creek","Lower Verde","AZ","25","100","","","Hydropower","Concrete masonry gravity","","","","11/10/2017","",""
"24","CA-001","","Big Creek Manufacturing Dam","","",NA,NA,"","Big Creek","","CA","14","","","","","","","","","11/10/2017","",""
"25","CA-002","","Minnie Reeves Dam","","2002",40.63811,-122.908,"Douglas City","Indian Creek","Trinity","CA","20","","","","","","","","","11/10/2017","",""
"26","CA-003","","Lone Jack Dam","","",NA,NA,"","Trinity River (East Fork of North Fork)","","CA","24","","","","","","","","","11/10/2017","",""
"27","CA-004","","Arco Pond Dam","","",NA,NA,"","","","CA","10","","","","","","","","","11/10/2017","",""
"28","CA-005","","Trout Haven Dam","","",41.89046,-123.815,"Six Rivers National Forest","Monkey Creek","Smith","CA","","","","","","","","","","11/10/2017","",""
"29","CA-006","","Salt Creek Dam","","",39.29306,-122.795,"Mendocino National Forest","Salt Creek","Upper Eel","CA","10","","","","","","","","","11/10/2017","",""
"30","CA-007","","Lower Murphy Dam","","",38.06938,-122.918,"Inverness","Home Bay","Tomales-Drake Bays","CA","6","","","","","","","","","11/10/2017","",""
"31","CA-008","","Upper Murphy Dam","","",38.08526,-122.904,"Point Reyes National Seashore, Inverness","Home Ranch Creek","Tomales-Drake Bays","CA","25","","","","","","","","","11/10/2017","",""
"32","CA-009","","Russell (Hinkley) Dam","","1922",NA,NA,"","Hayfork Creek","","CA","11","","","","","","","","","11/10/2017","",""
"33","CA-010","","Hessellwood Dam","","1925",NA,NA,"","Hayfork Creek","","CA","10","","","","","","","","","11/10/2017","",""
"34","CA-011","","Henry Danninbrink Dam","","1927",NA,NA,"","Canyon Creek","","CA","","","","","","","","","","11/10/2017","",""
"35","CA-012","","Anderline Dam","","1936",NA,NA,"","Rush Creek","","CA","20","","","","","","","","","11/10/2017","",""
"36","CA-013","","D.B. Fields/Johnson Dam","","1946",39.29508,-123.399,"Mendocino County","Rice Creek","Big-Navarro-Garcia","CA","","","","","","","","","","11/10/2017","",""
"37","CA-014","","Bonally Mining Co. Dam","","1946",NA,NA,"","Salmon River (North Fork)","","CA","11","177","","","","","","","","11/10/2017","",""
"38","CA-015","","Trinity Cty. Water & Power Co. Dam","","1946",NA,NA,"","Trinity River (East Fork)","","CA","10","","","","","","","","","11/10/2017","",""
"39","CA-016","","D.B. Fields Dam","","1947",NA,NA,"","Indian Creek","","CA","6","","","","","","","","","11/10/2017","",""
"40","CA-017","","Altoona Dam","","1947",NA,NA,"","Kidder Creek","","CA","12","60","","","","","","","","11/10/2017","",""
"41","CA-018","","Three C. Picket Dam","","1949",NA,NA,"","Beaver Creek","","CA","","","","","","","","","","11/10/2017","",""
"42","CA-019","","Big Nugget Mine Dam","","1949",NA,NA,"","Horse Creek","","CA","12","40","","","","","","","","11/10/2017","",""
"43","CA-020","","Moser Dam","","1949",NA,NA,"","Swillup Creek","","CA","","","","","","","","","","11/10/2017","",""
"44","CA-021","","Todd Dam","","1949",NA,NA,"","Trinity River (East Fork of North Fork)","","CA","14","","","","","","","","","11/10/2017","",""
"45","CA-022","","Smith Dam","","1949",NA,NA,"","White's Gulch","Lower Susquehanna-Swatara","CA","8","25","","","","","","","","11/10/2017","",""
"46","CA-023","","Clarissa V. Mining Dam","","1950",NA,NA,"","Redding Creek","","CA","20","","","","","","","","","11/10/2017","",""
"47","CA-024","","Bennett-Smith Dam","","1950",NA,NA,"","Salmon River (South Fork)","","CA","10","","","","","","","","","11/10/2017","",""
"48","CA-025","","Barton Dam","","1950",NA,NA,"","Scott River (South Fork)","","CA","12","25","","","","","","","","11/10/2017","",""
"49","CA-026","","North Fork Placers Dam","","1950",NA,NA,"","Trinity River (North Fork)","","CA","15","","","","","","","","","11/10/2017","",""
"50","CA-027","","Red Hill Mining Do. Dam","","1951",NA,NA,"","Canyon Creek","","CA","30","","","","","","","","","11/10/2017","",""
"51","CA-028","","Quinn Dam","","1951",NA,NA,"","Trinity River (East Fork of North Fork)","Middle James-Buffalo","CA","14","","","","","","","","","11/10/2017","",""
"52","CA-029","","Sweasey Dam","","1970",40.81962,-123.956,"Arcata","Mad River","Mad-Redwood","CA","55","","","","","","","","","11/10/2017","",""
"53","CA-030","","Bear Valley Dam","","1982",37.99325,-122.814,"Point Reyes National Seashore","","Tomales-Drake Bays","CA","15","","","","","","","","","11/10/2017","",""
"54","CA-031","","Rogers Dam","","1983",38.04692,-122.787,"Point Reyes Station","Tributary to Olema Creek","Tomales-Drake Bays","CA","40","","","","","","","","","11/10/2017","",""
"55","CA-032","","Happy Isles Dam","","1987",NA,NA,"","","","CA","8","","","","","","","","","11/10/2017","",""
"56","CA-033","","Upper Dam (Lost Man Dam)","","1989",41.329068,-124.02192,"","Lost Man Creek","Mad-Redwood","CA","7","57","","","","","","","","11/10/2017","",""
"57","CA-034","","Unnamed Dam #1","","1992",NA,NA,"","Wildcat Creek","Lower Susquehanna","CA","6","","","","","","","","","11/10/2017","",""
"58","CA-035","","Unnamed Dam #2","","1992",NA,NA,"","Wildcat Creek","Lower Susquehanna","CA","6","","","","","","","","","11/10/2017","",""
"59","CA-036","","Point Four Dam","","1993",NA,NA,"","Butte Creek","","CA","6","","","","","","","","","11/10/2017","",""
"60","CA-037","","C-Lind Dam #1","","1993",NA,NA,"","","","CA","56","","","","","","","","","11/10/2017","",""
"61","CA-038","","Lake Christopher Dam","","1994",NA,NA,"","Cold Creek","","CA","10","400","","","","","","","","11/10/2017","",""
"62","CA-039","","McPherrin Dam","","1998",39.44674,-121.874,"Biggs","Butte Creek","Butte Creek","CA","12","","","","","","","","","11/10/2017","",""
"63","CA-040","","Western Canal East Dam","","1998",NA,NA,"","Butte Creek","Butte Creek","CA","10","","","","","","","","","11/10/2017","",""
"64","CA-041","","Western Canal Main Dam","","1998",NA,NA,"","Butte Creek","Butte Creek","CA","10","","","","","","","","","11/10/2017","",""
"65","CA-042","","Unnamed small dam #1","","1998",NA,NA,"","Guadalupe River","","CA","","","","","","","","","","11/10/2017","",""
"66","CA-043","","Unnamed small dam #2","","1998",NA,NA,"","Guadalupe River","","CA","","","","","","","","","","11/10/2017","",""
"67","CA-044","","McCormick-Saeltzer Dam","","2000",40.49316,-122.471,"Redding","Clear Creek","Clear Creek-Sacramento River","CA","18","60","1907","","","","","","12","11/10/2017","",""
"68","CA-045","","Swim Dam #1","Two dams on the upper stretches of Alameda Creek were removed in 2001.","2001",37.51295,-121.827,"Sunol","Alameda Creek","San Francisco Bay","CA","","","","","","","","","","11/10/2017","",""
"69","CA-046","","Swim Dam #2","Two dams on the upper stretches of Alameda Creek were removed in 2001.","2001",37.51093,-121.826,"Sunol","Alameda Creek","San Francisco Bay","CA","","","","","","","","","","11/10/2017","",""
"70","CA-047","","Crocker Creek Dam","This dam had been abandoned for many years.  ","2002",38.77714,-122.959,"Cloverdale","Crocker Creek","Russian","CA","30","80","1904","","Recreation","Concrete flashboard","","","2","11/10/2017","",""
"71","CA-048","","Unnamed Dam","","2002",NA,NA,"","Ferrari Creek","Crosswicks-Neshaminy","CA","5","","","","","","","","","11/10/2017","",""
"72","CA-049","","Unnamed Arizona Crossing","","2002",NA,NA,"","Solstice Creek","","CA","","","","","","","","","","11/10/2017","",""
"73","CA-050","","North Debris Dam","","2002",NA,NA,"","Unnamed Trib. to the Los Angeles River","","CA","20","","","","","","","","","11/10/2017","",""
"74","CA-051","","Trancas Debris Dam","","2002",NA,NA,"","Unnamed Trib. to the Trancas Canyon","","CA","15","","","","","","","","","11/10/2017","",""
"75","CA-052","","A-Frame Dam","","2003",NA,NA,"","Brandy Creek","","CA","30","100","","","","","","","","11/10/2017","",""
"76","CA-053","","East Panther Creek Dam","Breached in 2003; removed in 2016","2016",38.49,-120.3975,"Amador County","East Panther Creek","Upper Mokelumne","CA","12","35","1930s ","Pacific Gas & Electric","","Concrete","","","~7","11/10/2017","",""
"77","CA-054","CA10268","Cascade Diversion Dam","","2003",37.71827,-119.682,"El Portal, CA","Merced River","Upper Merced","CA","18","184","1918","","","","","","","11/10/2017","",""
"78","CA-055","","Murphy Creek Dam (Sparrow Dam)","","2003",38.234021,-121.026446,"Clements","Murphy Creek","Upper Mokelumne","CA","12","","","","","","","","","11/10/2017","",""
"79","CA-056","","Mumford Dam","A 7-foot apron was left in place during this dam removal that will not be visible or block fish under most flow conditions. Removal of the dam restored approximately 720 feet of stream channel below Mumford Dam and allows Chinook salmon, Coho salmon and steelhead access to as much as 45 miles of rearing habitat. ","2003",39.27739,-123.208,"Redwood Valley","Russian River (West Fork)","Russian","CA","","60 (7 feet left in place)","","","","","","","45","11/10/2017","",""
"80","CA-057","","Haypress Pond Dam","  ","2003",37.86288,-122.547,"Golden Gate National Recreation Area","Unnamed Tributary","Tomales-Drake Bays","CA","20","","","","Watering stock","Earthen","","","","11/10/2017","",""
"81","CA-058","","West Panther Creek Dam","","2003",38.492942,-120.393264,"Amador County","West Panther Creek","Upper Mokelumne","CA","14","64","1930s","Pacific Gas and Electric Company","","Concrete","","","~2.5","11/10/2017","",""
"82","CA-059","","York Creek Diversion Structure","The diversion structure was removed and replaced with an alternative diversion device - an infiltration gallery in the streambed - to prevent entrainment of juvenile steelhead in 2004.  ","2004",38.5095,-122.496,"St. Helena","York Creek","San Pablo Bay","CA","","","","","","Concrete masonry","","","2.5","11/10/2017","",""
"83","CA-060","","Niles Dam","","2006",37.58591,-121.963,"Union City","Alameda Creek","San Francisco Bay","CA","","","","","","","","","","11/10/2017","",""
"84","CA-061","","Sunol Dam","","2006",37.5944,-121.902,"Sunol","Alameda Creek","San Francisco Bay","CA","","","","","","","","","","11/10/2017","",""
"85","CA-062","","Horse Creek Dam","This dam was located in the Sisquoc Wild and Scenic River corridor of the Los Padres National Forest.  ","2006",34.83759,-120.017,"Los Padres National Forest, Los Olivos","Horse Creek","Santa Maria","CA","12","","","","","","","","13","11/10/2017","",""
"86","CA-063","","Tucker Road Ford","This concrete ford on Soquel Creek was removed in 2006 and replaced with a 120-foot bridge. ","2006",37.09985,-121.958,"Los Gatos","Soquel Creek","Monterey Bay","CA","5","","","","","Concrete ford","","","2.5","11/10/2017","",""
"87","CA-064","","Unnamed Dam","","2006",NA,NA,"","Ward Creek","Crosswicks-Neshaminy","CA","","","","","","","","","","11/10/2017","",""
"88","CA-065","","Araujo Dam","","2007",41.68764,-122.53,"Siskiyou County","Shasta River","Shasta","CA","","","1856","","Flashboard diversion dam installed every summer","","","","","11/10/2017","",""
"89","CA-066","","Rooney Bros Dam","","2008",38.35819,-121.343,"Sacramento County","Consumnes River","Upper Cosumnes","CA","","","","","","","","","8","11/10/2017","",""
"90","CA-067","","Hall Wines Dam (Dry Creek Dam)","","2008",38.37706,-122.316,"Napa County","Dry Creek","San Pablo Bay","CA","","","1960","Hall Wines","Vineyard frost protection","Flashboard","","","16.9","11/10/2017","",""
"91","CA-068","","East Mill Creek Barrier Removal","In the 1960’s, surveys showed East Mill Creek to be an abundant coho and steelhead fishery. However, while stealhead redds are now fairly abundant in the creek below the dam, no coho have been seen in the creek (with one exception) in recent years.","2008",40.32146,-124.273,"Humboldt County","East Mill Creek","Mattole","CA","12","","","","","","","","0.75","11/10/2017","",""
"92","CA-069","","White Gulch Dam #1 (Whites Gulch Lower Dam)","","2008",41.2909,-123.083,"Siskiyou County","Whites Gulch, Tributary to the Salmon River","Salmon","CA","","","Originally built in the late 1800s, rebuilt in 1980s","","2 diversion dams","","","","1.5","11/10/2017","",""
"93","CA-070","","Wildcat Dam","","2009",40.42024,-121.961,"Anderson ","Battle Creek","Battle Creek","CA","","","1912","Pacific Gas & Electric","Hydropower","","","","42","11/10/2017","",""
"94","CA-071","","Percolation Dam","","2009",38.52162,-121.965,"Solano County","Putah Creek","Upper Putah","CA","","","1930s ","City of Winter","Increase local groundwater elevations","","","","","11/10/2017","",""
"95","CA-072","","Shasta River Water Association Diversion Dam","The dam on Nelson Creek located about ¼ mile above the Nelson Point Road stream crossing was removed in 2009.  The removal provided access for adfluvial runs of rainbow trout out of Shasta Lake. ","2009",40.85339,-122.347,"Shasta County","Nelson Creek","Sacramento Headwaters","CA","","","1912","","Irrigation","","","","29","11/10/2017","",""
"96","CA-073","","Camp Meeker Dam","This dam removal is part of a larger restoration project, which includes the replacement of the dam with an 80-foot bridge, nearby culvert replacements, and other instream improvements. ","2009",38.42465,-122.959,"Occidental, CA","Dutch Bill Creek","Russian","CA","12","90","1950s","Camp Meeker Recreation and Park District","Recreation","Concrete","","","3.4","11/10/2017","",""
"97","CA-074","","Waterman Dam","","2009",37.21437,-122.176097,"Boulder Creek","Waterman Creek","San Francisco Coastal South","CA","12","50","1900","Redtree Properties","Mill, Industrial","Timber-crib","","","1.5","11/10/2017","",""
"98","CA-075","","Glenbrook Gulch Dam/ Anadromous Fish Habitat Restoration","","2010",39.26526,-123.669,"Mendocino County","Glenbrook Gulch (Albion River)","Big-Navarro-Garcia","CA","10","95 (15 feet wide at the crest, 45 feet wide at its base)","","Campbell Timber Ltd. or previous timber owner","Water diversion","Earthen","","","0.66","11/10/2017","",""
"99","CA-076","","Fife Creek Check Dam ","This project focused on the removal of twelve remaining check dams from within Fife Creek in Armstrong Redwoods State Reserve. Removal of the check dams is a component of a comprehensive program geared toward the restoration of predevelopment processes and biota to the Fife Creek watershed. ","2010",38.53338,-123.004,"Guerneville","Fife Creek","Russian","CA","","","","","","","","","","11/10/2017","",""
"100","CA-077","","Ojai Valley Trail Ford","The County of Ventura Parks Department removed the Ojai Valley Trail dry weather crossing at the San Antonio Creek and replaced it with a single span bridge in an effort to provide an additional 15 miles of habitat for migrating steelhead trout. The addition of a bridge designed to pass a 100-year flood event is also expected to improve public safety at the site, which often becomes impassable during storms. ","2011",34.37979,-119.307,"Oak View","San Antonio Creek","Ventura","CA","","","","","","","","","15","11/10/2017","",""
"101","CA-078","","Camp Nine Dam","","2012",38.13576,-120.377,"Vallecito","Stanislaus River","Upper Stanislaus","CA","","","1961/62","PG&E","","Thick steel braces mounted on concrete pads affixed to bed rock","","","","11/10/2017","",""
"102","CA-079","","Hostler Creek Dam ","A complementary project to this dam removal that upgraded an adjacent irrigation diversion system was completed by the USDA. ","2012",41.07869,-123.668,"Hoopa","Hostler Creek","Trinity","CA","14","","1940","Hoopa Tribe","Infiltration gallery to get water","Concrete/Rebar","","","","11/10/2017","",""
"103","CA-080","","Bear Creek Dam #3","","2012",37.41515,-122.243,"Woodside","Bear Creek (San Francisquito Creek)","Coyote","CA","7","27","1940s","Roger Bamford ","Likely created for water diversion","Concrete and Grouted Cobble / Boulders","","",">6","11/10/2017","",""
"104","CA-081","","Cahill Dam","","2013",37.03797,-121.986,"Santa Cruz","Branciforte Creek","Monterey Bay","CA","8","40","1931","Private land owner","Water supply, recreation, fire protection","Rock/Concrete/Rebar","","","3","11/10/2017","",""
"105","CA-082","","Bonde Weir","","2013",37.44744,-122.17,"Palo Alto","San Francisquito Creek","Coyote","CA","2.1","45","1908","","Erosion control","Bank to bank concrete sill","","","","11/10/2017","",""
"106","CA-083","","Hammer Diversion Dam","This dam was removed because the fish ladder at this dam site had stopped functioning.","2014",40.12336,-122.722,"Red Bluff","South Fork Cottonwood Creek","Cottonwood Creek","CA","","","1934","Private","Domestic water and hydropower ","","","","5","11/10/2017","",""
"107","CA-084","","HJFD10","","2014",33.68371,-117.516,"Rancho Santa Margarita","","Aliso-San Onofre","CA","1.5","16","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"108","CA-085","","HJFD6","","2014",33.68332,-117.516,"Rancho Santa Margarita","","Aliso-San Onofre","CA","2.3","12","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"109","CA-086","","HJFD7","","2014",33.68333,-117.516,"Rancho Santa Margarita","","Aliso-San Onofre","CA","2.5","21","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"110","CA-087","","HJFD8","","2014",33.68352,-117.516,"Rancho Santa Margarita","","Aliso-San Onofre","CA","5","","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"111","CA-088","","HJFD9","","2014",33.6837,-117.516,"Rancho Santa Margarita","","Aliso-San Onofre","CA","2.3","14","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"112","CA-089","","Lion Creek Diversion Dam","","2014",34.54438,-119.164,"Ojai","Lion Creek","Santa Clara","CA","3","25","1940","","Provide water for the Middle Lion Creek Campground","Concrete diversion dam","","","7","11/10/2017","",""
"113","CA-090","","TCFD10","","2014",33.67441,-117.525,"Rancho Santa Margarita","Trabuco Creek","Aliso-San Onofre","CA","2.5","","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"114","CA-091","","TCFD11","","2014",33.67447,-117.525,"Rancho Santa Margarita","Trabuco Creek","Aliso-San Onofre","CA","6.5","40","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"115","CA-092","","TCFD7","","2014",33.67418,-117.526,"Rancho Santa Margarita","Trabuco Creek","Aliso-San Onofre","CA","6","31","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"116","CA-093","","TCFD9","","2014",33.67436,-117.525,"Rancho Santa Margarita","Trabuco Creek","Aliso-San Onofre","CA","9","25","1930s-1950s","Orange County","Recreational fishing","","","","","11/10/2017","",""
"117","CA-094","","Unknown","","2014",39.42051,-123.502,"Irmulco","Olds Creek","Big-Navarro-Garcia","CA","","","1908","Mendocino Redwood Co","","Flashboard dam","","","2.6","11/10/2017","",""
"118","CA-095","","Whites Gulch Upper Dam","This dam was removed using explosives.","2008",41.28182,-123.075701,"Etna","Whites Gulch","Salmon","CA","","","","","","","","","","11/10/2017","",""
"119","CA-096","","Memorial Park Dam","aka Memorial Park Fish Passage Improvements Project","2015",37.273915,-122.288465,"San Mateo County","Pescadero Creek","San Francisco Coastal South","CA","","","1938","San Mateo County Resource Conservation","","","","","62","11/10/2017","",""
"120","CA-097","","San Clemente Dam","","2015",36.4359,-121.7088,"Monterey County","Carmel River","Central Coastal","CA","106","300","1921","California American Water","Water diversion","Arch","","","25","11/10/2017","",""
"121","CA-098","","Maria Ygnacio Aijian Barrier","This project will remove barriers to fish passage in Maria Ygnacio Creek. The project will implement engineered designs that call for several improvements to the creek: removal of a low flow crossing, regrading of the stream channel, installation of engineered stream bed material, installation of a new clear span bridge, and restoration with native riparian vegetation at the site.","2014",34.466395,-119.794309,"Santa Barbara","Maria Ygnacio Creek","Santa Barbara Coastal","CA","5","65","","","","","","","0.5","11/10/2017","",""
"122","CA-099","","Rodeo Grounds Berm","The Rodeo Grounds Berm was 1000ft long by 40-100ft wide and was placed directly in the channel of Topanga Creek. This project removed the berm and restored riparian habitat in Topanga Creek. Berm removal resulted in 3000 linear feet of connectivity critical for migrating steelhead trout, as well as invasive species removal and establishment of native wetland and riparian communities on over 12 acres of floodplain. Snorkel surveys after restoration revealed trout ranging from five to eight inches using newly formed pools in the restored channel.","2008",34.04189,-118.57961,"Los Angeles County","Topanga Creek","Santa Monica Bay","CA","12 to 18","1000","","","","","","","0.6","11/10/2017","",""
"123","CA-100","","Old Carmel River Dam","This structure was just downstream of the San Clemente dam. It impedes Steelhead Passage, and it will contribute to the 25 miles of spawining and rearing habitat of these fish.","2016",36.43875,-121.7048028,"Monterey","Carmel River","Central Coastal","CA","32","","1883","California American Water","","Concrete","","","0.7 miles and 100ft","11/10/2017","",""
"124","CA-101","","Benbow Dam","Second largest dam removal in California. The dam is also causing safety issues. The banks of the lake have eroded due to the unnatural wave action caused by the lake and sediment accumulation upstream of the dam. The lake is surrounded by redwood trees, but erosion is causing the banks to be unstable, and they are toppling over. The dam itself is in poor repair and could become a liability.","2016",40.0666,-123.7961,"Eureka","South Fork Eel River","South Fork Eel","CA","20","300","1931","State Parks","","Concrete","","","50","11/10/2017","",""
"125","CA-102","","Dream Lake Dam","","2011",40.442033,-121.408425,"Chester","Hot Springs Creek","North Fork Feather","CA","","","","","","","","","","11/10/2017","",""
"126","CA-103","","McGowan Dam","Removal of four water diversion dams and 12 unscreened water diversions are resulting in dramatic improvements to 25 miles of chinook salmon habitat in the Sacramento Valley’s Butte Creek.  The collaborative effort includes one of northern California’s largest irrigation districts, rice growers and other agricultural interests, government resource agencies, and other stakeholders.  The group worked together to solve individual and mutual problems, with a primary goal of restoring the fisheries.  The project is making important progress toward protecting chinook salmon, which are listed as threatened under California’s Endangered Species Act.  In 1987, only 14 spring-run chinook salmon were found spawning in Butte Creek.  The removal of four small dams and other river restoration efforts contributed to a record spring 1998 run of more than 20,000 adult chinooks.  ","1998",NA,NA,"","Butte Creek","Butte Creek","CA","6","","Early 1900s","","Irrigation diversion","","","","25 miles total","11/10/2017","",""
"127","CA-104","","HJFD15","Nine dams in total were removed in the Cleveland National Forest in 2017.  Four dams were removed from Silverado Creek and five dams from Holy Jim Creek.  This is part of a larger project to remove about 80 dams from four streams in Orange County, California.","2017",33.68806214,-117.512544,"Orange County","Holy Jim Creek","Aliso-San Onofre","CA","9.3","30","1970s","US Forest Service","Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression","Rock and mortar","","","2 (total)","2/8/2018","",""
"128","CA-105","","HJFD16","Nine dams in total were removed in the Cleveland National Forest in 2017.  Four dams were removed from Silverado Creek and five dams from Holy Jim Creek.  This is part of a larger project to remove about 80 dams from four streams in Orange County, California.","2017",33.68876814,-117.51187,"Orange County","Holy Jim Creek","Aliso-San Onofre","CA","2","16","1970s","US Forest Service","Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression","Rock and mortar","","","2 (total)","2/8/2018","",""
"129","CA-106","","HJFD17","Nine dams in total were removed in the Cleveland National Forest in 2017.  Four dams were removed from Silverado Creek and five dams from Holy Jim Creek.  This is part of a larger project to remove about 80 dams from four streams in Orange County, California.","2017",33.68884714,-117.511854,"Orange County","Holy Jim Creek","Aliso-San Onofre","CA","4","18","1970s","US Forest Service","Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression","Rock and mortar","","","2 (total)","2/8/2018","",""
"130","CA-107","","HJFD18","Nine dams in total were removed in the Cleveland National Forest in 2017.  Four dams were removed from Silverado Creek and five dams from Holy Jim Creek.  This is part of a larger project to remove about 80 dams from four streams in Orange County, California.","2017",33.68899014,-117.511759,"Orange County","Holy Jim Creek","Aliso-San Onofre","CA","3.5","2.2","1970s","US Forest Service","Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression","Rock and mortar","","","2 (total)","2/8/2018","",""
